Beruf,Lehrbetrieb,Strasse,PLZ,Ort,Kontaktperson,Telefon,Email,Homepage,Erreichbarkeit,D/F,SL,BM,LS,IV,ZB,Anzahl,Bewerbung bis
Elektroinstallateur/in EFZ,Bantiger Elektro AG,Bernstrasse 98,3066,Stettlen,Hans Peter Hofer,031 930 70 00,info@bantiger-elektro.ch,,8.00-17.00h,D,E,False,False,False,True,1.0,31.07.2023
Elektroinstallateur/in EFZ,Beat Bürgin Elektro AG,,,,Sandra Eggimann,031 972 87 00,info@buergin-elektro.ch,http://www.buergin-elektro.ch/,"Montag, Mittwoch und Donnerstag",D,E,False,False,False,True,1.0,31.07.2023
Elektroinstallateur/in EFZ,Bolliger Elektrotechnik GmbH,Melchnaustrasse 20,4924,Obersteckholz,André Bolliger,062 923 55 33,info@bolliger-et.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Bouygues E&S InTec Schweiz AG,Weltpoststrasse 5,3015,Bern,Carmen Mutti,031 378 31 18,lernende.intec.bern@bouygues-es.com,,,D,E,False,False,False,False,5.0,31.07.2023
Elektroinstallateur/in EFZ,cablex AG,,,,Karin Loosli,058 224 03 51,karin.loosli@cablex.ch,https://direktlink.prospective.ch/?view=378fbba1-a758-4fbf-92fc-826915783a26,,D,E,True,False,False,True,1.0,30.06.2023
Elektroinstallateur/in EFZ,CKW Bern-Köniz GmbH,Meriedweg 7,3172,Niederwangen b. Bern,Lorenz Marthaler,031 985 22 22,lorenz.marthaler@ckw.ch,,Zu Bürozeiten,D,E,False,False,False,True,1.0,31.05.2023
Elektroinstallateur/in EFZ,Electrio AG,Bahnhofstrasse 26,3713,Reichenbach im Kandertal,Philipp Rubin,033 676 24 24,philipp.rubin@electrio.ch,http://www.electrio.ch/,,D,E,True,True,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Electrotel Voisin Sarl,Baptiste-Savoye 60,2610,Saint-Imier,Jonas Rufino Neres ,032 941 62 62,info@electrotelvoisin.ch,,,F,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Timo Hunziker,Dorfstrasse 8,3232,Ins,Timo Hunziker,032 313 16 36,admin@elektrains.ch,http://www.elektrains.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Elektroinstallateur/in EFZ,Elektro E. Schneider AG,Lenkstrasse 100,3775,Lenk im Simmental,Dominique Schneider,033 733 22 77,info@elektroschneiderag.ch,,von 7.00 bis 17.00,D,M,False,True,False,False,3.0,31.07.2023
Elektroinstallateur/in EFZ,Elektro ERTI AG,Papiermühlestrasse 11,3013,Bern,Marc Schaller,031 332 18 18,bewerbung@erti.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Elektroinstallateur/in EFZ,Elektro Schlup AG Beratung/Planung/Installationen,Bernstrasse 54,3267,Seedorf BE,Matthias Schlup,032 392 22 44,info@elektro-schlup.ch,,,D,,False,False,False,False,1.0,30.09.2023
Elektroinstallateur/in EFZ,Elektro Tschanz GmbH Chalet Birke,Bahnhofstrasse 26,3777,Saanenmöser,Jürg Tschanz,033 744 00 33,info@elektro-tschanz.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Elektro W.Siegrist AG Beny Zwygart,Lotzwilstrasse 70,4900,Lanenthal,Beny Zwygart,062 922 19 01,b.zwygart@elwsag.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Elektroinstallateur/in EFZ,Elektro Zürcher AG Bruno Spycher ,Hintere Gasse 10,3132,Riggisberg,Bruno Spycher,031 809 02 18,spycher.b@elektrozuercherag.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,elentec GmbH,Brennerstrasse 16,3550,Langnau im Emmental,David Thommen,034 408 10 06,d.thommen@elentec.ch,,,D,E,True,False,False,True,1.0,31.07.2023
Elektroinstallateur/in EFZ,Enertech AG,Funtenenstrasse 1,3860,Meiringen,Martin Lüthi,033 972 54 54,martin.luethi@enertech.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,ETAVIS Arnold AG,Waldeggstrasse 47,3097,Liebefeld,Rufer André,031 309 66 66,bern@etavis.ch,,,F,E,True,False,False,True,3.0,31.07.2023
Elektroinstallateur/in EFZ,ETAVIS Arnold AG,Dorfstrasse 72,3661,Uetendorf,Steve Gerber,,thun@etavis.ch,,,D,,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Fischer Electric AG Elektrotechnische Anlagen,Industriestrasse 2,2552,Orpund,Manfred Ulmann,032 344 01 01,m.ulmann@fischerelectric.ch,,Bürozeiten,D,E,True,True,False,False,4.0,30.06.2023
Elektroinstallateur/in EFZ,Frey + Cie Elektro AG,Wengelacher 1,3800,Matten b. Interlaken,Hansueli Hänni,033 821 03 30,info@freycie-interlaken.ch,,,D,E,False,False,False,False,3.0,31.07.2023
Elektroinstallateur/in EFZ,Frey + Cie Elektro AG Zweigniederlassung Heinz Hodel,Seestrasse 18,3600,Thun,Hansueli Hänni,033 225 56 56,info@freycie-interlaken.ch,,,D,,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Friedli Elektro Bern AG,Landoltstrasse 7,3007,Bern,Daniel Christen,031 370 00 00,info@friedli-elektro.ch,http://www.friedli-elektro.ch/,,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Gerber AG Elektro + Energietechnik,Allmendingenweg 11,3073,Gümligen,Sandro Germann,031 950 60 70,s.germann@gerberelektro.ch,,,D,E,True,False,False,True,2.0,31.07.2023
Elektroinstallateur/in EFZ,Hansueli Tanner,Bäraustrasse 35,3552,Bärau,Hansueli Tanner,034 402 17 80,hu.tanner@tanner-reparatur.ch,,Montag bis Freitag 7.30 bis 18.00 Uhr,D,E,False,False,False,True,1.0,31.07.2023
Elektroinstallateur/in EFZ,Impuls Bern AG AG für Elektro und Telematik,Galgenfeldweg 13e,3006,Bern,Markus Binggeli,031 930 40 90,info@impulsbern.ch,www.impulsbern.ch,,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Iseli Elektro GmbH,Eystrasse 54A,3454,Sumiswald,Martin Iseli,034 431 34 82,info@iseli-elektro.ch,,,D,E,True,True,False,True,1.0,30.09.2023
Elektroinstallateur/in EFZ,Johner Elektro AG,Burgfeldweg 13,3612,Steffisburg,Jürg Röthlisberger,033 222 40 28,info@johner-elektro.ch,,,D,E,True,False,False,True,1.0,31.07.2023
Elektroinstallateur/in EFZ,Licht- + Wasserwerk Adelboden AG,Dorfstrasse 36,3715,Adelboden,René Allenbach,033 673 12 22,hallo@lwa.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Mathys + Götschmann AG,Scheibenstrasse 58,3014,Bern,Adrian Götschmann,031 311 34 34,info@mathysgoetschmann.ch,,7.30-17h,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Muff + Schmutz AG Elektro - Telematik,Bolligenstrasse 107,3065,Bolligen,Roger Kissling,031 917 47 47,ms-bo@muff-schmutz.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Elektroinstallateur/in EFZ,Nyffeler-Kästli Elektro AG  ,Breitenrainplatz 42,3014,Bern,Nadine Zurbuchen,031 331 98 55,nadine.zurbuchen@nyffeler-kaestli.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Otto Zenger AG  Elektrounternehmung,Huberstrasse 2,3008,Bern,Dario Läng,031 381 22 60,info@elektro-zenger.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Elektroinstallateur/in EFZ,Probst Elektro GmbH  ,Emmentalstrasse 31,3432,Lützelflüh-Goldbach,Michael Schönholzer,034 461 37 03,info@probst-elektro.ch,,Mo. - Fr. 07:00 - 17:00 Uhr,D,,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Rolf Gerber AG Romano Angelo Elektro- Installationen,Berchtoldstrasse 37,3012,Bern,Angelo Romano,031 307 76 76,info@rolfgerber.ch,,Bürozeiten,D,E,False,False,False,False,2.0,31.07.2023
Elektroinstallateur/in EFZ,RONTO Elektro GmbH,Stauffacherstrasse 77,3014,Bern,Tomislav Curic,031 334 20 00,info@ronto.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Salzmann Elektro GmbH,Heidbühl 482k,3537,Eggiwil,Stefan Salzmann ,034 491 20 30,s.salzmann@bluewin.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Schäfer Elektro GmbH Thomas Schäfer ,Hünigenstrasse  37,3504,Niederhünigen,Thomas Schäfer,031 791 27 80,t.schaefer@schaefer-elektro.ch,,Montag bis Freitag,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Lukas Linder Elektro und Telematik,Papiermühlestrasse 9,3000,Bern 25,Lukas Linder,031 330 41 11,l.linder@scherler-ag.ch,https://www.scherler-ag.ch/online-bewerbung/bewerbung-fuer-eine-lehrstelle,0700 Uhr -1200 Uhr  1300Uhr - 1600 Uhr,D,E,True,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Schild Elektro AG,Hauptstrasse 121,3855,Brienz BE,Karl Wyss,0339528888,k.wyss@schild-elektro.ch,,Montag bis Freitag 08.00 - 17.00,D,E,False,True,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Schweizer Zucker AG,Radelfingenstrasse 30,3270,Aarberg,Claudia Schürer,032 391 62 67,bewerbung@zucker.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Thomas Käser AG,Trüllernstrasse 35A,3205,Gümmenen,Thomas Käser,079 653 07 67,thomas.kaeser@t-kaeser.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Elektroinstallateur/in EFZ,Urs Christen AG Elektro Telematik,Schulhausgasse 4,3860,Meiringen,Urs Abplanalp,033 972 11 34,info@elektro-christen.ch,,"Mo - Fr 7:00 - 12:00, 13:00 - 17:00",D,E,False,False,False,False,1.0,03.07.2023
Elektroniker/in EFZ,ceff INDUSTRIE,Rue Baptiste-Savoye 26,2610,St-Imier,Tino Cocco,032 942 43 44,industrie@ceff.ch,,,F,,True,False,False,False,7.0,31.07.2023
Elektroniker/in EFZ,Delisys AG,Südstrasse 1a,3110,Münsingen,Simon Liechti,031 722 10 57,s.liechti@delisys.ch,,,D,,False,False,False,False,1.0,31.07.2023
Elektroniker/in EFZ,Corinne Jost,,,,Corinne Jost,058 101 11 11,info@bbcag.ch,https://berufsbildungscenter.ch/lehrstellen/suche/elektroniker/bern/2023/,,D,M,True,False,False,True,3.0,31.07.2023
Elektroniker/in EFZ,RUAG AG Berufsbildung,,,,Dominik Buchs,058 467 01 11,hr-administration@ruag.ch,https://www.ruag.ch/arbeiten-bei-uns/arbeiten-bei-uns/stellenportal,,D,M,True,False,False,False,1.0,31.07.2023
Elektroniker/in EFZ,RUAG AG Berufsbildung,,,,Beat Bohni,058 467 01 11,hr-administration@ruag.ch,https://www.ruag.ch/arbeiten-bei-uns/arbeiten-bei-uns/stellenportal,,D,M,True,False,False,False,3.0,31.07.2023
Elektroniker/in EFZ,Jolanda Urfer-von Gunten Lorrainestrasse 3,,,,Jolanda Urfer-von Gunten,0313373707,jolanda.urfer@tfbern.ch,https://tfbern.ch/grundbildung-edu/elektroniker-in-efz-mit-bms/,Mo - Do,D,,True,True,False,True,3.0,31.07.2023
Elektroniker/in EFZ,Zumbach Electronic AG Frau Beatrice Roth,Hauptstrasse 93,2552,Orpund,Beatrice Roth,032 356 04 08,humanresources@zumbach.ch,,Mo-Fr Mittag,D,E,True,False,False,False,2.0,31.07.2023
Elektroplaner/in EFZ,Boess + Partner AG Ingenieurbüro,Wankdorffeldstrasse 64,3014,Bern,Claudia Herren,031 330 10 50,personalwesen@boess.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Elektroplaner/in EFZ,Boess Rüegg AG Elektroplanung Inegnieurbüro usic,Frutigenstrasse 16,3600,Thun,Claudia Herren,031 330 10 50,personalwesen@boess.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Elektroplaner/in EFZ,Elektroplan Buchs & Grossen AG Daniel Rieben ,Rollstrasse 24,3714,Frutigen,Daniel Rieben,033 672 10 50,info@elektro-plan.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Elektroplaner/in EFZ,Enerconom AG,Brückfeldstrasse 16,3001,Bern,Antonio Sanginisi,0313803333,sanginisi@enerconom.ch,http://www.enerconom.ch/,,D,M,True,False,False,True,1.0,31.07.2023
Elektroplaner/in EFZ,KASTELER ENGINEERING GmbH,Grünaustrasse 9,3084,Wabern,Stefan Kasteler,031 558 34 34,office@kastelerengineering.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Elektroplaner/in EFZ,Knobel Engineering Kandertal GmbH,Rollstrasse 22,3714,Frutigen,Martin Knobel,033 671 01 01,martin.knobel@kekgmbh.ch,,,D,E,True,False,False,False,1.0,30.09.2023
Entwässerungstechnologe/in EFZ Warten von Entwässerungsanlagen,Rohrreinigungen Flückiger GmbH,Freiburgstrasse 844,3174,Thörishaus,Luca Mellone,031 991 31 10,info@rohrreinigungen-flueckiger.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,,,,,Michael Rütimann,0435421703,info@globegarden.org,https://recruitingapp-2725.umantis.com/Vacancies/2838/Description/1,,D,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,globegarden GmbH Thunstrasse,Thunstrasse 80,3006,Bern,Michael Rütimann,043 542 17 03,info@globegarden.org,,,D,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Kita Hasebou Marlies Blaser,alte Lützelflühstrasse 30,3415,Rüegsauschachen,Marlies Blaser,0345355730,info@kita-hasebou.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Kita Seestärn,Grabenstrasse 8a,3600,Thun,Martina Niederhauser,033 221 17 39,info@kita-seestaern.ch,,Mo+Di und Do+Fr,D,E,False,False,False,False,1.0,31.10.2022
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,leolea lebensorte und lebensart für kinder,Gasstrasse 4,3005,Bern,Carmen Nanzer,031 310 47 00,carmen.nanzer@leolea.ch,https://www.leolea.ch/ausbildung/,,D,,False,False,False,False,1.0,
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Ville de Bienne Écoles&Sport Elisabeth Stöckli,,,,Chantal Winkler,032 326 28 50,chantal.winkler@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,M,False,False,False,False,2.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Kita Bubenberg - crèche Bubenberg Stadt Biel - Ville de Bienne,,,,Christof Erni,032 326 28 31,berufsbildung@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,,False,False,False,False,2.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,"Kita Mett - Crèche de Mâche Direktion Bildung, Kultur + Sport Schule & Sport",,,,Monika Schär,032 326 28 28,monika.schaer@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,,False,False,False,False,2.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Kita Zukunft - Crèche de l'Avenir Stadt Biel - Ville de Bienne,,,,Sandra König,032 326 28 11,kita.zukunft@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,,False,False,False,False,2.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,"Stadt Biel Schule & Sport, Dienstelle 5 - 18 Jahre Elisabeth Stöckli",,,,Manuel Boss,032 326 78 21,berufsbildung@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,M,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,,,,,Abirami Krishnapillai,032 326 79 69,berufsbildung@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Stadt Biel Tagesschule Champagne Ecole à journée continue Champagne,,,,Nicole Niederhäuser,032 326 78 48,ts.champagne@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Stadt Biel Tagesschule Plänke Ecole à journée continue Plänke,,,,Zahra-Marie Chopard,032 326 76 40,ts.plaenke@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,,,,,Julia Wickart,032 326 78 60,berufsbildung@biel-bienne.ch,https://www.biel-bienne.ch/de/offene-stellen.html/861,,D/F,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Strampolino Bern GmbH,Effingerstrasse 25,3008,Bern,Merita Haljimi-Maliqi,058 400 59 35,bern@strampolino.ch,https://www.strampolino.ch/de/bern,,D,E,True,True,False,True,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,,,,,,,tagesschulen@bern.ch,,,D,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Kinder,Verein Kinderhaus Erlach Kita Erlach,Im Städtchen 23,3238,Erlach,Karin Bürki-Schober,0784009112,kitaleitung@kinderhaus-erlach.ch,,Montag bis Donnerstag 10.00 bis 16.00,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen im Alter,Stadt Biel / Ville de Bienne Abteilung Personelles / Département du personnel,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Angela Rebetez,032 344 20 70,info@ems-ried.ch,http://www.biel-bienne.ch/,,D/F,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,Hospice Le Pré-aux-Boeufs Seelandheim AG,Le Pré-aux-Boeufs 222,2615,Sonvilier,Joëlle Girardin,032 962 69 00,rh@pre-aux-boeufs.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,"Interessengemeinschaft Sozialpsychiatrie Holzikofenweg 22, 3007 Bern",Oberdorfstrasse 34,3053,Bern,Rahel Hofer,031 370 79 79,info@igsbern.ch,,Täglich ausser am Freitag,D,E,True,False,False,True,1.0,
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,PTA-Wohnheim Simon Gosteli,Neuenburgstrasse 16,2520,Neuenstadt,Simon Gosteli,032 752 40 04,ausbildung@pta-biel.ch,,,D,E,False,False,False,True,1.0,28.02.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,Stiftung Aarhus Wohngruppe Zollikofen,Grubenweg 4,3052,Zollikofen,Janine Meyer,031 959 52 63,personal@aarhus.ch,http://www.aarhus.ch/,Montag - Freitag 08.00 - 16.00 Uhr,D,E,False,False,False,True,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,Stiftung Brüttelenbad Lebensraum für Menschen mit Behinderung,Mühlegasse 34,3237,Brüttelen,Myriam Siegenthaler,032 321 38 03,myriam.siegenthaler@bruettelenbad.ch,,Montag - Freitag,D,M,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,Lehmann Andrea Institution mit sozialen Angeboten,Asylstrasse 37,3550,Langnau,Andrea Lehmann,034 409 33 27,andrea.lehmann@bwo-langnau.ch,,vormittags: Mo-Fr / Dienstag- und Mittwochnachmittag,D,,False,False,False,False,1.0,10.05.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,,,,,Cris Cremers,0319703732,c.cremers@schoen-da.ch,,Dienstags bis Donnerstags,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Betreuung EFZ Fachrichtung Menschen mit Beeinträchtigung,Stiftung Tannacker,Tannackerstrasse 7,3302,Moosseedorf,Gaby Salzmann,031 858 01 11,bewerbung@stiftung-tannacker.ch,http://www.stiftung-tannacker.ch/,,D,E,False,False,False,True,2.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Alters- und Pflegeheim Wattenwil Rachel Koller,Burgisteinstrasse 34,3665,Wattenwil,Rachel Koller,033 359 26 58,rachel.koller@aphw.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Altersheim Turmhuus,Turmgässli 1,3661,Uetendorf,Monika Leumann,033 346 51 70,monika.leumann@turmhuus.ch,,"Montag: 08.00 - 11.00 Uhr , Dienstag und Donnerstag : 08.00 - 16.00 Uhr",D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Alterswohnen STS AG Personal & Dienste Lara Fritz,Bolgengasse 38,3770,Zweisimmen,Irene Eggenberg,033 729 27 24,i.eggenberg@alterswohnenag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Stadt Biel - Ville de Bienne Abteilung Personelles - Département du personnel,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Sherine Khalil,032 366 79 66,sherine.khalil@az-cristal.ch,https://www.biel-bienne.ch/,,D/F,M,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Ville de Bienne - Stadt Biel Département du personnel - Abteilung Personelles,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Beatrix Müller,032 344 70 52,beatrix.mueller@az-redern.ch,https://www.biel-bienne.ch/,,D/F,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Ville de Bienne/Stadt Biel Département du personnel - Abteilung Personelles,Rue du Rüschli  | Rüschlistrasse 14,2502,Biel/Bienne,Dominique Jimenez,032 344 20 70,d.jimenez@betagtenheimried.ch,http://www.biel-bienne.ch/,,D/F,M,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Alterszentrum Scheidegg  ,Bernstrasse 45,3360,Herzogenbuchsee,Susanne Greub,062 956 50 23,s.greub@azsh.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Burgergut Thun,Bernstrasse 113,3613,Steffisburg,Silvia Garius,033 439 26 26,info@burgergut.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Centre éducatif et pédagogique,Crêt du Sapelot 10,2608,Courtelary,Céline Boeisger Gilliéron,032 945 10 20,info@cep-courtelary.ch,,,F,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,CIP Centre interrégional de perfectionnement,Chemin des Lovières 13,2720,Tramelan,Claudine Németi,032 486 06 45,claudine.nemeti@cip-tramelan.ch,,,F,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Domicil Egelmoos Keller Desiréé,,,,Désirée Keller,031 352 30 62,bildung@domicilbern.ch,http://www.domicilbern.ch/,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Domicil Bern AG Bildung,,,,Ursula Schweizer,031 810 16 00,bildung@domicilbern.ch,https://www.domicilbern.ch/arbeiten-bei-uns/ausbildung/,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Domicil Bern AG Bildung,,,,Ursula Schweizer,031 812 16 00,bildung@domicilbern.ch,https://www.domicilbern.ch/arbeiten-bei-uns/ausbildung/,,D/F,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Gemeindeverband Altersheim/Spitex Roggwil/Wynau Alterszentrum Spycher ,Sekundarschulstrasse 9,4914,Roggwil BE,Anita Hüsler,062 918 28 48,hr@alterszentrum-spycher.ch,,,D,,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Insel Gruppe AG Spital Riggisberg,,,,Céline Stucki,031 808 71 63,inselstellen@insel.ch,http://www.inselgruppe.ch/de/jobs-und-karriere/offene-stellen/?stellen=hauswirtschaft-efz,,D,M,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,jetzt Niedersimmental AG jetzt Lindenmatte,Lindenmatte 299o,3762,Erlenbach im Simmental,Denise Dowling,033 681 86 92,denise.dowling@jetzt-nst.ch,,Mo - Fr    07.00 - 16.00 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Mon Repos Exploitation SA,Chemin des Vignolans 34,2520,La Neuveville,Evelyne Bandi,032 752 14 14,info@mon-repos.ch,,,F,E,False,False,False,True,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Pflege und Betreuung Schwarzenburgerland Nadine Hoffmann Leitung Hauswirtschaft,Guggisbergstrasse 7,3150,Schwarzenburg,Nadine Hoffmann,031 734 36 34,nadine.hoffmann@pbsl.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Schlössli Biel-Bienne Zentrum für Langzeitpflege,Mühlestrasse 11,2504,Biel/Bienne,Valerie Kaltenrieder,032 344 08 37,bewerbung@schloessli-biel.ch,,Mo-Fr,D,,False,False,False,True,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,SEEBURG,Untere Bönigstrasse 28,3800,Interlaken,Adrian Schmocker,033 845 84 00,berufsintegration@seeburg.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Seniorenzentrum Oberburg Oberburg,Krieggasse 12,3414,Oberburg,Ursula Schuppisser,034 427 72 27,ursula.schuppisser@seniorenzentrum-oberburg.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Siloah AG Service Center HRM - Berufsbildung,,,,Sabine Kernen,031 958 16 89,sabine.kernen@siloah.ch,https://link.ostendis.com/cvdropper/899011d1fca04f53a7ad4f487c82a70e/DE,,D,M,False,False,False,True,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Alters- und Pflegeheim Hasle-Rüegsau,Gerbestrasse 3,3415,Rüegsauschachen,Christina Aegerter,034 460 77 09,c.aegerter@aph-hr.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Altersbetreuung Worb,Bahnhofstrasse 1,3076,Worb,Naomi Bigler,031 838 17 23,Naomi.bigler@abworb.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Stiftung Bad Heustrich,Heustrichstrasse 2,3711,Emdthal,Arnold Sieber,0336558040,arnold.sieber@badheustrich.ch,,,D,E,False,False,True,True,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,Stiftung Diaconis Human Resources,,,,Susanne Mürner,031 337 77 08,hr@diaconis.ch,http://www.diaconis.ch/,,D,E,False,False,False,False,1.0,31.07.2023
Fachmann/frau Hauswirtschaft EFZ,LebensART Bärau,,,,Marlene Brand,034 408 24 47,marlene.brand@lebensart.ch,https://recruitingapp-2934.umantis.com/Vacancies/559/Description/1,,D,E,True,False,False,False,1.0,31.07.2023
